gcode,gname
00,全業種
35,水産
37,鉱業
41,建設
01,食品
03,繊維
05,パルプ・紙
07,化学
09,医薬品
11,石油
13,ゴム
15,窯業
17,鉄鋼
19,非鉄金属
21,機械
23,電気機器
25,造船
27,自動車
29,輸送用機
31,精密機器
33,その他製
43,商社
45,小売業
47,銀行
49,証券
51,保険
52,その他金
53,不動産
55,鉄道・バス
57,陸運
59,海運
61,空運
63,倉庫
65,通信
67,電力
69,ガス
71,サービス

code,gcode,name
1332,35,日水
1333,35,マルハニチロ
1605,37,国際石開帝石
1925,41,ハウス
1928,41,積ハウス
1808,41,長谷工
1803,41,清水建
1802,41,大林組
1801,41,大成建
1812,41,鹿島
1721,41,コムシスＨＤ
1963,41,日揮ＨＤ
2502,01,アサヒ
2501,01,サッポロＨＤ
2002,01,日清粉Ｇ
2531,01,宝ＨＬＤ
2282,01,日ハム
2914,01,ＪＴ
2802,01,味の素
2503,01,キリンＨＤ
2871,01,ニチレイ
2269,01,明治ＨＤ
2801,01,キッコマン
3103,03,ユニチカ
3401,03,帝人
3402,03,東レ
3101,03,東洋紡
3861,05,王子ＨＤ
3863,05,日本紙
4021,07,日産化
4183,07,三井化学
4005,07,住友化
4188,07,三菱ケミＨＤ
4911,07,資生堂
3407,07,旭化成
4042,07,東ソー
6988,07,日東電
3405,07,クラレ
4061,07,デンカ
4208,07,宇部興
4272,07,日化薬
4004,07,昭電工
4631,07,ＤＩＣ
4043,07,トクヤマ
4901,07,富士フイルム
4452,07,花王
4063,07,信越化
4578,09,大塚ＨＤ
4519,09,中外薬
4502,09,武田
4503,09,アステラス
4506,09,大日本住友
4151,09,協和キリン
4568,09,第一三共
4507,09,塩野義
4523,09,エーザイ
5020,11,ＥＮＥＯＳ
5019,11,出光興産
5108,13,ブリヂストン
5101,13,浜ゴム
5233,15,太平洋セメ
5202,15,板硝子
5301,15,東海カ
5201,15,ＡＧＣ
5214,15,日電硝
5333,15,ガイシ
5232,15,住友大阪
5332,15,ＴＯＴＯ
5411,17,ＪＦＥ
5401,17,日本製鉄
5406,17,神戸鋼
5541,17,大平金
5714,19,ＤＯＷＡ
5713,19,住友鉱
5803,19,フジクラ
5706,19,三井金
5901,19,洋缶ＨＤ
5703,19,日軽金ＨＤ
5801,19,古河電
5802,19,住友電
5707,19,東邦鉛
5711,19,三菱マ
3436,19,ＳＵＭＣＯ
6367,21,ダイキン
6305,21,日立建機
6326,21,クボタ
6301,21,コマツ
5631,21,日製鋼
6113,21,アマダ
7013,21,ＩＨＩ
7011,21,三菱重
6472,21,ＮＴＮ
6473,21,ジェイテクト
7004,21,日立造
6471,21,日精工
6302,21,住友重
6361,21,荏原
6103,21,オークマ
8035,23,東エレク
6702,23,富士通
6762,23,ＴＤＫ
6701,23,ＮＥＣ
6902,23,デンソー
6479,23,ミネベア
6841,23,横河電
6506,23,安川電
6770,23,アルプスアル
6503,23,三菱電
6976,23,太陽誘電
3105,23,日清紡ＨＤ
7735,23,スクリン
6752,23,パナソニック
6674,23,ＧＳユアサ
7752,23,リコー
7751,23,キヤノン
6703,23,ＯＫＩ
6724,23,エプソン
6952,23,カシオ
6501,23,日立
6504,23,富士電機
6971,23,京セラ
6857,23,アドテスト
6758,23,ソニー
6645,23,オムロン
6954,23,ファナック
7003,25,三井Ｅ＆Ｓ
7012,25,川重
7269,27,スズキ
7261,27,マツダ
7211,27,三菱自
7270,27,ＳＵＢＡＲＵ
7201,27,日産自
7202,27,いすゞ
7272,27,ヤマハ発
7205,27,日野自
7203,27,トヨタ
7267,27,ホンダ
7733,31,オリンパス
4902,31,コニカミノル
7762,31,シチズン
7731,31,ニコン
4543,31,テルモ
7832,33,バンナムＨＤ
7911,33,凸版
7912,33,大日印
7951,33,ヤマハ
8053,43,住友商
8058,43,三菱商
8031,43,三井物
8002,43,丸紅
8015,43,豊田通商
2768,43,双日
8001,43,伊藤忠
9983,45,ファストリ
3086,45,Ｊフロント
3099,45,三越伊勢丹
8233,45,高島屋
3382,45,セブン＆アイ
8252,45,丸井Ｇ
8267,45,イオン
8028,45,ファミマ
7186,47,コンコルディ
8306,47,三菱ＵＦＪ
8411,47,みずほＦＧ
8331,47,千葉銀
8308,47,りそなＨＤ
8354,47,ふくおかＦＧ
8304,47,あおぞら銀
8355,47,静岡銀
8316,47,三井住友ＦＧ
8309,47,三井住友トラ
8303,47,新生銀
8628,49,松井
8604,49,野村
8601,49,大和
8630,51,ＳＯＭＰＯ
8750,51,第一生命ＨＤ
8795,51,Ｔ＆Ｄ
8725,51,ＭＳ＆ＡＤ
8766,51,東京海上
8697,52,日本取引所
8253,52,クレセゾン
8830,53,住友不
8804,53,東建物
8801,53,三井不
3289,53,東急不ＨＤ
8802,53,菱地所
9022,55,ＪＲ東海
9021,55,ＪＲ西日本
9020,55,ＪＲ東日本
9009,55,京成
9005,55,東急
9007,55,小田急
9008,55,京王
9001,55,東武
9062,57,日通
9064,57,ヤマトＨＤ
9104,59,商船三井
9107,59,川崎汽
9101,59,郵船
9202,61,ＡＮＡＨＤ
9301,63,三菱倉
9412,65,スカパーＪ
9433,65,ＫＤＤＩ
9437,65,ＮＴＴドコモ
9984,65,ＳＢＧ
9613,65,ＮＴＴデータ
9432,65,ＮＴＴ
9503,67,関西電
9502,67,中部電
9501,67,東電ＨＤ
9531,69,東ガス
9532,69,大ガス
2413,71,エムスリー
9602,71,東宝
4704,71,トレンド
4751,71,サイバー
4689,71,ＺＨＤ
4755,71,楽天
6178,71,日本郵政
9735,71,セコム
2432,71,ディーエヌエ
4324,71,電通グループ
9766,71,コナミＨＤ
6098,71,リクルート